firstname,lastname,gender
Valerie,Koffi,0
Laurent,Avoseh,1
Violette,Tetteh,0
David,Gbedemah,1
Akossiwa,Akakpo,0
Viviane,Diabre,0
Violette,Alassani,0
Akowé,Akakpo,1
Fiosron,Foli,0
Cecilia,Agbodeka,0
Juliette,Amouzou,0
Nathalie,Nkrumah,0
Adjoa,Amekudzi,0
Jean,Akakpo,1
Anani,Anani,1
Mazamesso,Dossou,1
Helene,Ayite,0
Luc,Amekudzi,1
Dodji,Attipoe,1
Kwaku,Ayigbe,1
Anani,Obodai,1
Koku,Amouzou,1
Philippe,Asamoah,1
Roxane,Ayigbe,0
Julien,Agbodeka,1
LARE,Ofori,1
Aline,Gbikpi,0
Yvette,Agbozo,0
Atsuko,Akoto,0
Kouadio,Amekudzi,1
Ximena,Gbedemah,0
Awura,Agbeko,0
Abiré,Amouzou,0
Bèni,Djondo,1
Yasmine,Diawara,0
Irene,Asamoah,0
Abdel-Aziz,Agbeko,1
Didi,Agbeko,1
Mawuli,Agbodeka,1
Mawusi,Diawara,0
Helena,Moussa,0
Kossiwa,Bakari,0
Kokouga,Moussa,1
Essowaza,Azamati,1
Viviane,Amouzou,0
Isidore,Abliza,1
Bernard,Dzokoto,1
Luc,Amouzou,1
Dela,Togbe,1
Irene,Agbodeka,0
Médar,Morquette,1
Fleur,Anani,0
Komla,Ocloo,1
Bernard,Ahove,1
Raoul,Alassani,1
Kwesi,Attipoe,1
Jocelyn,Alassani,1
Bernard,Attipoe,1
Luc,Agbozo,1
Rachelle,Sokpor,0
Hilaire,Diabre,1
Xaviera,Amegashie,0
Zacharie,Azamati,1
Marie,Amegashie,0
Ines,Ahove,0
Florence,Asamoah,0
Akosua,Amouzou,0
Zara,Awuku,0
Elise,Moussa,0
Jean,Ayite,1
Edem,Akakpo-Doe,1
Wendy,Attipoe,0
Awura,Nkrumah,0
IDRISSOU,Amevor,1
Téléky,Bakari,1
Ezechiel,Agbozo,1
Viviane,Nyaku,0
Gildas,Diabre,1
Yasmine,Nyavor,0
Tina,Dogbe,0
Quentin,Atsu,1
Rachelle,Agbozo,0
Alain,Agbozo,1
Ezechiel,Mensah,1
Kofi,Gnama,1
Irene,Nyavor,0
Kossi,Djondo,1
Raymond,Amevor,1
IDRISSOU,Soglo,1
Dela,Gbedemah,1
Akakpo,Ahove,1
Abiré,Ayite,0
Kodjo,Ayite,1
Louis,Dossou,1
Viviane,Gbedemah,0
Ama,Agbozo,0
Irene,Awuku,0
Laure,Agbodeka,0
Odon,Anani,1
Zacharie,Attipoe,1
Efia,Gnama,0
Quintine,Attipoe,0
Jeanne,Anani,0
Eloise,Dzokoto,0
Akowé,Awuku,1
Perrine,Moussa,0
Isidore,Dzokoto,1
Kouadio,Atsu,1
Odette,Moussa,0
Ekoue,Agbozo,1
Fiosron,Koffi,0
Isabelle,Akakpo-Doe,0
Efia,Amegashie,0
Kossiwa,Nayo,0
Kokou,Soglo,1
Genevieve,Atsu,0
Gifty,Akakpo,0
Ophelie,Dossou,0
Victor,Nkrumah,1
Essowaza,Dzokoto,1
Xaviera,Azamati,0
Essowaza,Diabre,1
Nicolas,Amegashie,1
Azhar,Amevor,1
Yvette,Dossou,0
Simone,Sokpor,0
Steven,Bakari,1
Remi,Takyi,1
Simone,Amegashie,0
Fatoumata,Diabre,0
Sébastien,Nkrumah,1
Aline,Agbozo,0
Olympe,Nkrumah,0
Kwaku,Nkrumah,1
Queen,Akoto,0
Tatiana,Diabre,0
Komi,Bangoura,1
Charles,Takyi,1
Henri,Koffi,1
Queen,Obodai,0
Kouadio,Agbodeka,1
Nathanael,Attipoe,1
Mansan,Abliza,0
Zara,Agbozo,0
Tina,Foli,0
Clement,Dzokoto,1
Odette,Ocloo,0
Quintina,Amekudzi,0
Kwaku,Dogbe,1
Dzidzor,Agbobli,0
LARE,Akakpo,1
Kwesi,Amekudzi,1
Brigitte,Dogbe,0
Romain,Bakari,1
Catherine,Ayite,0
Ophelie,Nayo,0
Olympe,Agbozo,0
Zacharie,Avoseh,1
Rebecca,Asamoah,0
Rebecca,Koffi,0
Kodjo,Adzaho,1
Valerie,Foli,0
Togbe,Obodai,1
Vera,Gbedemah,0
Juliette,Soglo,0
Queen,Togbe,0
Dela,Amekudzi,1
Sophia,Gbedemah,0
Odette,Djondo,0
Diane,Soglo,0
Viviane,Attipoe,0
Kafui,Anani,0
Simone,Amouzou,0
Komla,Ahove,1
Komi,Ofori,1
Queen,Gbikpi,0
Mansan,Soglo,0
Ursula,Amekudzi,0
Akossiwa,Ocloo,0
Mensah,Nkrumah,1
Julien,Akakpo,1
IDRISSOU,Awuku,1
Cecile,Gbedemah,0
Marcel,Sokpor,1
Dodji,Ayigbe,1
Romain,Alassani,1
Esso,Dzokoto,1
Dzidzor,Nayo,0
Cecilia,Takyi,0
Danielle,Ocloo,0
Georges,Ayigbe,1
Agbeko,Agbobli,1
Gildas,Moussa,1
Yao,Agbodeka,1
Yao,Akoto,1
Olympe,Adzaho,0
Zacharie,Diabre,1
Koffi,Agbobli,1
Catherine,Takyi,0
Folly,Awuku,1
